File Creation Date,2025-05-28
Sampling Location,3km offshore of Odaka District (T-14)

Sea surface to a depth of 0.5 m,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2022/4/8 7:40,,0.0014,0.0033,,2022/3/30 7:24,,0.0014,0.0031,
2022/3/30 7:24,,0.0014,0.0039,,2022/3/22 7:42,,0.0014,0.0074,
2022/3/22 7:42,,0.0014,0.0052,,2022/3/14 7:32,,0.0014,0.0034,
2022/3/14 7:32,,0.0014,0.0031,,2022/3/8 7:40,,0.0014,0.0045,
2022/3/8 7:40,,0.0014,0.0027,,2022/3/1 7:42,,0.0014,0.0022,
2022/3/1 7:42,,0.0014,0.0025,,2022/2/22 7:31,,0.0014,0.0032,
2022/2/22 7:31,,0.0014,0.0032,,2022/2/15 7:38,,0.0014,0.011,
2022/2/15 7:38,,0.0014,0.0027,,2022/2/7 7:32,,0.0014,0.0054,
2022/2/7 7:32,,0.0014,0.0031,,2022/2/1 7:44,,0.0014,0.0053,
2022/2/1 7:44,,0.0014,0.0041,,2022/1/24 8:03,,0.0014,0.0084,
2022/1/24 8:03,,0.0014,0.0062,,2022/1/17 7:40,,0.0014,0.0049,
2022/1/17 7:40,,0.0014,0.0047,,2022/1/11 7:33,,0.0014,0.0062,
2022/1/11 7:33,,0.0013,0.0049,,2022/1/4 7:38,,0.0014,0.0041,
2022/1/4 7:38,,0.0014,0.0045,,2021/12/29 7:39,,0.0014,0.0053,
2021/12/29 7:39,,0.0014,0.0073,,2021/12/20 7:29,,0.0014,0.0071,
2021/12/20 7:29,,0.0014,0.0056,,2021/12/14 7:36,,0.0014,0.0037,
2021/12/14 7:36,,0.0014,0.0080,,2021/12/6 7:36,,0.0014,0.017,
2021/12/6 7:36,,0.0014,0.0080,,2021/11/29 7:41,,0.0014,0.0073,
