begperiod,station,org,depth,Cs-134,Cs-134_nd,Cs-137,Cs-137_nd,H-3,H-3_nd,lon,lat
2023-08-25 00:00,E-S5,MOE,Surface,,,,,0.13,,141.0462,37.43289
2023-09-13 00:00,E-S5,MOE,Bottom,,,,,0.07,,141.0462,37.43289
2023-11-14 00:00,E-S5,MOE,Surface,,,,,0.24,,141.0462,37.43289
2023-11-14 00:00,E-S5,MOE,Bottom,,,,,0.5,,141.0462,37.43289
2022-06-23 00:00,E-S6,MOE,Surface,,,,,0.12,,141.041667,37.432944
2022-06-23 00:00,E-S6,MOE,Bottom,,,,,0.11,,141.041667,37.432944
2022-08-24 00:00,E-S6,MOE,Surface,,,,,0.17,,141.041667,37.432944
2022-08-24 00:00,E-S6,MOE,Bottom,,,,,0.12,,141.041667,37.432944
2022-10-28 00:00,E-S6,MOE,Surface,,,,,0.071,,141.041667,37.432944
2022-10-28 00:00,E-S6,MOE,Bottom,,,,,0.083,,141.041667,37.432944
2023-01-17 00:00,E-S6,MOE,Surface,,,,,,0.05,141.041667,37.432944
2023-01-17 00:00,E-S6,MOE,Bottom,,,,,0.085,,141.041667,37.432944
2022-06-23 00:00,E-S7,MOE,Surface,,,,,0.14,,141.034028,37.432778
2022-06-23 00:00,E-S7,MOE,Bottom,,,,,0.088,,141.034028,37.432778
2022-08-24 00:00,E-S7,MOE,Surface,,,,,0.1,,141.034028,37.432778
2022-08-24 00:00,E-S7,MOE,Bottom,,,,,0.074,,141.034028,37.432778
2022-10-28 00:00,E-S7,MOE,Surface,,,,,0.084,,141.034028,37.432778
2022-10-28 00:00,E-S7,MOE,Bottom,,,,,0.059,,141.034028,37.432778
2023-01-17 00:00,E-S7,MOE,Surface,,,,,0.057,,141.034028,37.432778
2023-01-17 00:00,E-S7,MOE,Bottom,,,,,0.085,,141.034028,37.432778
2022-06-23 00:00,E-S8,MOE,Surface,,,,,0.12,,141.041597,37.429333
2022-06-23 00:00,E-S8,MOE,Bottom,,,,,0.079,,141.041597,37.429333
2022-08-24 00:00,E-S8,MOE,Surface,,,,,0.15,,141.041597,37.429333
2022-08-24 00:00,E-S8,MOE,Bottom,,,,,0.058,,141.041597,37.429333
2022-10-28 00:00,E-S8,MOE,Surface,,,,,0.066,,141.041597,37.429333
2022-10-28 00:00,E-S8,MOE,Bottom,,,,,0.089,,141.041597,37.429333
2023-01-17 00:00,E-S8,MOE,Surface,,,,,0.05,,141.041597,37.429333
2023-01-17 00:00,E-S8,MOE,Bottom,,,,,0.071,,141.041597,37.429333
2022-04-21 00:00,M-101,NRA,0.5,,,,,0.14,,141.043,37.427
2022-05-20 00:00,M-101,NRA,0.5,,,,,0.076,,141.043,37.427
2022-06-10 00:00,M-101,NRA,0.5,,,,,0.15,,141.043,37.427
2022-07-20 00:00,M-101,NRA,0.5,,,,,0.18,,141.043,37.427
2022-08-25 00:00,M-101,NRA,0.5,,,,,0.11,,141.043,37.427
2022-09-16 00:00,M-101,NRA,0.5,,,,,0.071,,141.043,37.427
2022-10-07 00:00,M-101,NRA,0.5,,,,,0.081,,141.043,37.427
2022-11-12 00:00,M-101,NRA,0.5,,,,,0.14,,141.043,37.427
2022-12-02 00:00,M-101,NRA,0.5,,,,,0.053,,141.043,37.427
2023-01-13 00:00,M-101,NRA,0.5,,,,,,0.042,141.043,37.427
2023-02-03 00:00,M-101,NRA,0.5,,,,,0.062,,141.043,37.427
2023-03-03 00:00,M-101,NRA,0.5,,,,,0.067,,141.043,37.427
2023-04-21 00:00,M-101,NRA,0.5,,,,,0.12,,141.043,37.427
2023-05-20 00:00,M-101,NRA,0.5,,,,,0.058,,141.043,37.427
2023-06-09 00:00,M-101,NRA,0.5,,,,,0.082,,141.043,37.427
2023-07-07 00:00,M-101,NRA,0.5,,,,,0.11,,141.043,37.427
2023-08-04 00:00,M-101,NRA,0.5,,,,,0.07,,141.043,37.427
2023-09-01 00:00,M-101,NRA,0.5,,,,,0.066,,141.043,37.427
2023-10-06 00:00,M-101,NRA,0.5,,,,,0.089,,141.043,37.427
2023-11-10 00:00,M-101,NRA,0.5,,,,,0.46,,141.043,37.427
2023-12-08 00:00,M-101,NRA,0.5,,,,,0.11,,141.043,37.427
2024-01-12 00:00,M-101,NRA,0.5,,,,,0.077,,141.043,37.427
2024-02-02 00:00,M-101,NRA,0.5,,,,,0.11,,141.043,37.427
2024-03-12 00:00,M-101,NRA,0.5,,,,,0.31,,141.043,37.427
2022-04-21 00:00,M-102,NRA,0.5,,,,,0.12,,141.043,37.419
2022-05-20 00:00,M-102,NRA,0.5,,,,,0.089,,141.043,37.419
2022-06-10 00:00,M-102,NRA,0.5,,,,,0.13,,141.043,37.419
2022-07-20 00:00,M-102,NRA,0.5,,,,,0.14,,141.043,37.419
2022-08-25 00:00,M-102,NRA,0.5,,,,,0.099,,141.043,37.419
2022-09-16 00:00,M-102,NRA,0.5,,,,,0.084,,141.043,37.419
2022-10-07 00:00,M-102,NRA,0.5,,,,,0.087,,141.043,37.419
2022-11-12 00:00,M-102,NRA,0.5,,,,,0.098,,141.043,37.419
2022-12-02 00:00,M-102,NRA,0.5,,,,,0.12,,141.043,37.419
2023-01-13 00:00,M-102,NRA,0.5,,,,,,0.039,141.043,37.419
2023-02-03 00:00,M-102,NRA,0.5,,,,,0.069,,141.043,37.419
2023-03-03 00:00,M-102,NRA,0.5,,,,,0.069,,141.043,37.419
2023-04-21 00:00,M-102,NRA,0.5,,,,,0.11,,141.043,37.419
2023-05-20 00:00,M-102,NRA,0.5,,,,,0.098,,141.043,37.419
2023-06-09 00:00,M-102,NRA,0.5,,,,,0.054,,141.043,37.419
2023-07-07 00:00,M-102,NRA,0.5,,,,,0.13,,141.043,37.419
2023-08-04 00:00,M-102,NRA,0.5,,,,,0.064,,141.043,37.419
2023-09-01 00:00,M-102,NRA,0.5,,,,,,0.052,141.043,37.419
2023-10-06 00:00,M-102,NRA,0.5,,,,,0.078,,141.043,37.419
2023-11-10 00:00,M-102,NRA,0.5,,,,,0.61,,141.043,37.419
2023-12-08 00:00,M-102,NRA,0.5,,,,,0.13,,141.043,37.419
2024-01-12 00:00,M-102,NRA,0.5,,,,,0.065,,141.043,37.419
2024-02-02 00:00,M-102,NRA,0.5,,,,,0.098,,141.043,37.419
2024-03-12 00:00,M-102,NRA,0.5,,,,,0.1,,141.043,37.419
2022-04-21 00:00,M-103,NRA,0.5,,,,,0.13,,141.047,37.445
2022-05-20 00:00,M-103,NRA,0.5,,,,,0.12,,141.047,37.445
2022-06-10 00:00,M-103,NRA,0.5,,,,,0.21,,141.047,37.445
2022-07-20 00:00,M-103,NRA,0.5,,,,,0.15,,141.047,37.445
2022-08-25 00:00,M-103,NRA,0.5,,,,,0.1,,141.047,37.445
2022-09-16 00:00,M-103,NRA,0.5,,,,,0.12,,141.047,37.445
2022-10-07 00:00,M-103,NRA,0.5,,,,,0.14,,141.047,37.445
2022-11-12 00:00,M-103,NRA,0.5,,,,,0.13,,141.047,37.445
2022-12-02 00:00,M-103,NRA,0.5,,,,,0.079,,141.047,37.445
2023-01-13 00:00,M-103,NRA,0.5,,,,,,0.037,141.047,37.445
2023-02-03 00:00,M-103,NRA,0.5,,,,,0.058,,141.047,37.445
2023-03-03 00:00,M-103,NRA,0.5,,,,,0.066,,141.047,37.445
2023-04-21 00:00,M-103,NRA,0.5,,,,,0.087,,141.047,37.445
2023-05-20 00:00,M-103,NRA,0.5,,,,,0.094,,141.047,37.445
2023-06-09 00:00,M-103,NRA,0.5,,,,,0.052,,141.047,37.445
2023-07-07 00:00,M-103,NRA,0.5,,,,,0.087,,141.047,37.445
2023-08-04 00:00,M-103,NRA,0.5,,,,,0.079,,141.047,37.445
2023-09-01 00:00,M-103,NRA,0.5,,,,,0.097,,141.047,37.445
2023-10-06 00:00,M-103,NRA,0.5,,,,,1.1,,141.047,37.445
2023-11-10 00:00,M-103,NRA,0.5,,,,,0.63,,141.047,37.445
2023-12-08 00:00,M-103,NRA,0.5,,,,,0.071,,141.047,37.445
2024-01-12 00:00,M-103,NRA,0.5,,,,,,0.045,141.047,37.445
2024-02-02 00:00,M-103,NRA,0.5,,,,,0.066,,141.047,37.445
2024-03-12 00:00,M-103,NRA,0.5,,,,,0.82,,141.047,37.445
2022-04-21 00:00,M-104,NRA,0.5,,,,,0.12,,141.047,37.40166667
2022-05-20 00:00,M-104,NRA,0.5,,,,,0.088,,141.047,37.40166667
2022-06-10 00:00,M-104,NRA,0.5,,,,,0.15,,141.047,37.40166667
2022-07-20 00:00,M-104,NRA,0.5,,,,,0.21,,141.047,37.40166667
2022-08-25 00:00,M-104,NRA,0.5,,,,,0.083,,141.047,37.40166667
2022-09-16 00:00,M-104,NRA,0.5,,,,,0.16,,141.047,37.40166667
