File Creation Date,2025-08-18
Sampling Location,Around 3km offshore of  1F site (T-S4) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/2/8,Yellow goosefish (whole),Cs-134,,3.9,Bq/kg-fresh
2024/2/8,Smooth dogfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/2/8,Marbled sole (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/2/8,Lepidotrigla microptena (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/2/8,Searobin (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/2/8,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/2/8,Yellow goosefish (whole),Cs-137,,4.4,Bq/kg-fresh
2024/2/8,Smooth dogfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/2/8,Marbled sole (muscle),Cs-137,4.8,,Bq/kg-fresh
2024/1/18,Stone flounder (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/1/18,Stingray (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/1/18,Red sea bream (muscle),Cs-134,,2.7,Bq/kg-fresh
2024/1/18,Stone flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/1/18,Stingray (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/1/18,Red sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/12/21,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/12/21,Searobin (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/12/21,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/12/21,Yellow goosefish (whole),Cs-134,,3.0,Bq/kg-fresh
2023/12/21,Flatfish (muscle),Cs-137,,4.2,Bq/kg-fresh
2023/12/21,Searobin (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/12/21,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/12/21,Yellow goosefish (whole),Cs-137,,2.7,Bq/kg-fresh
2023/11/9,Stone flounder (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-134,,6.1,Bq/kg-fresh
2023/11/9,Searobin (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/11/9,Common skete (muscle),Cs-134,,4.6,Bq/kg-fresh
2023/11/9,Red sea bream (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/11/9,Stone flounder (muscle),Cs-137,,3.0,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-137,,5.1,Bq/kg-fresh
2023/11/9,Searobin (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/11/9,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/11/9,Red sea bream (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/11/9,Flatfish (muscle),H-3:TFWT,0.20,,Bq/L
2023/11/9,Flatfish (muscle),H-3:TFWT,0.15,,Bq/kg-fresh
2023/11/9,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/11/9,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-134,,5.4,Bq/kg-fresh
2023/10/13,Searobin (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/10/13,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/10/13,Red sea bream (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/10/13,Crimson sea bream (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-137,,4.5,Bq/kg-fresh
2023/10/13,Searobin (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/10/13,Common skete (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/10/13,Red sea bream (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/10/13,Crimson sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/10/13,Flatfish (muscle),H-3:TFWT,0.11,,Bq/L
2023/10/13,Flatfish (muscle),H-3:TFWT,0.090,,Bq/kg-fresh
2023/10/13,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/10/13,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2023/9/13,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/9/13,Flatfish (muscle),Cs-134,,6.1,Bq/kg-fresh
2023/9/13,Searobin (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/9/13,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/9/13,Blue crab (whole),Cs-134,,4.4,Bq/kg-fresh
2023/9/13,John dory (muscle),Cs-134,,2.8,Bq/kg-fresh
2023/9/13,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/9/13,Flatfish (muscle),Cs-137,,5.2,Bq/kg-fresh
2023/9/13,Searobin (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/9/13,Common skete (muscle),Cs-137,3.4,,Bq/kg-fresh
2023/9/13,Blue crab (whole),Cs-137,,3.3,Bq/kg-fresh
2023/9/13,John dory (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/9/13,Flatfish (muscle),H-3:TFWT,,0.071,Bq/L
2023/9/13,Flatfish (muscle),H-3:TFWT,,0.056,Bq/kg-fresh
2023/9/13,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/9/13,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-134,,5.9,Bq/kg-fresh
2023/8/31,Searobin (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/8/31,Japanese angel shark  (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/8/31,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-137,,5.5,Bq/kg-fresh
2023/8/31,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/8/31,Japanese angel shark  (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/8/31,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/8/31,Flatfish (muscle),H-3:TFWT,,0.073,Bq/L
2023/8/31,Flatfish (muscle),H-3:TFWT,,0.057,Bq/kg-fresh
2023/8/31,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/8/31,Flatfish (muscle),H-3:OBT,,0.033,Bq/kg-fresh
2023/7/21,Flatfish (muscle),Cs-134,,5.5,Bq/kg-fresh
2023/7/21,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/7/21,Flatfish (muscle),Cs-137,,5.9,Bq/kg-fresh
2023/7/21,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/7/21,Flatfish (muscle),H-3:TFWT,,0.072,Bq/L
2023/7/21,Flatfish (muscle),H-3:TFWT,,0.057,Bq/kg-fresh
