File Creation Date,2024-12-09
Sampling Location,Around 2km offshore of Kido River (T-S5) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/6/29,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/6/29,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2023/5/11,Japanese angel shark  (muscle),Cs-134,,2.9,Bq/kg-fresh
2023/5/11,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/5/11,Flatfish (muscle),Cs-134,,6.4,Bq/kg-fresh
2023/5/11,Black rockfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/5/11,Microstomus achne (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/5/11,Blue crab (whole),Cs-134,,3.5,Bq/kg-fresh
2023/5/11,Yellow goosefish (whole),Cs-134,,3.3,Bq/kg-fresh
2023/5/11,Japanese angel shark  (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/5/11,Flatfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/5/11,Flatfish (muscle),Cs-137,,5.7,Bq/kg-fresh
2023/5/11,Black rockfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/5/11,Microstomus achne (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/5/11,Blue crab (whole),Cs-137,,3.9,Bq/kg-fresh
2023/5/11,Yellow goosefish (whole),Cs-137,,3.7,Bq/kg-fresh
2023/5/11,Flatfish (muscle),H-3:TFWT,,0.081,Bq/L
2023/5/11,Flatfish (muscle),H-3:TFWT,,0.062,Bq/kg-fresh
2023/5/11,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/5/11,Flatfish (muscle),H-3:OBT,,0.041,Bq/kg-fresh
2023/3/16,Japanese angel shark  (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/3/16,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/3/16,Microstomus achne (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/3/16,Marbled sole (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/3/16,Japanese angel shark  (muscle),Cs-137,4.1,,Bq/kg-fresh
2023/3/16,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/3/16,Microstomus achne (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/3/16,Marbled sole (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/2/24,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/2/24,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/2/24,Microstomus achne (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/2/24,Roundnose flounder (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/2/24,Red sea bream (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/2/24,Common skete (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/2/24,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/2/24,Microstomus achne (muscle),Cs-137,,2.7,Bq/kg-fresh
2023/2/24,Roundnose flounder (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/2/24,Red sea bream (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/1/20,Japanese angel shark  (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/1/20,Common skete (muscle),Cs-134,,2.9,Bq/kg-fresh
2023/1/20,Flatfish (muscle),Cs-134,,5.2,Bq/kg-fresh
2023/1/20,Microstomus achne (muscle),Cs-134,,2.5,Bq/kg-fresh
2023/1/20,Searobin (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/1/20,Yellow goosefish (whole),Cs-134,,3.6,Bq/kg-fresh
2023/1/20,Black sea bream (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/1/20,Marbled sole (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/1/20,Japanese angel shark  (muscle),Cs-137,,4.3,Bq/kg-fresh
2023/1/20,Common skete (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/1/20,Flatfish (muscle),Cs-137,,5.5,Bq/kg-fresh
2023/1/20,Microstomus achne (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/1/20,Searobin (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/1/20,Yellow goosefish (whole),Cs-137,,3.3,Bq/kg-fresh
2023/1/20,Black sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/1/20,Marbled sole (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/1/20,Flatfish (muscle),H-3:TFWT,0.089,,Bq/L
2023/1/20,Flatfish (muscle),H-3:TFWT,0.072,,Bq/kg-fresh
2023/1/20,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/1/20,Flatfish (muscle),H-3:OBT,,0.033,Bq/kg-fresh
2023/1/12,Japanese angel shark  (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/1/12,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/1/12,Microstomus achne (muscle),Cs-134,,5.4,Bq/kg-fresh
2023/1/12,Searobin (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/1/12,Japanese angel shark  (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/1/12,Common skete (muscle),Cs-137,,2.8,Bq/kg-fresh
2023/1/12,Microstomus achne (muscle),Cs-137,,4.5,Bq/kg-fresh
2023/1/12,Searobin (muscle),Cs-137,,3.5,Bq/kg-fresh
2022/11/9,Japanese angel shark  (muscle),Cs-134,,3.4,Bq/kg-fresh
2022/11/9,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2022/11/9,Flatfish (muscle),Cs-134,,6.0,Bq/kg-fresh
2022/11/9,Flatfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2022/11/9,Black sea bream (muscle),Cs-134,,3.9,Bq/kg-fresh
2022/11/9,Drumfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2022/11/9,Japanese angel shark  (muscle),Cs-137,,3.1,Bq/kg-fresh
2022/11/9,Common skete (muscle),Cs-137,,2.9,Bq/kg-fresh
2022/11/9,Flatfish (muscle),Cs-137,,6.1,Bq/kg-fresh
2022/11/9,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2022/11/9,Black sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2022/11/9,Drumfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2022/11/9,Flatfish (muscle),H-3:TFWT,0.14,,Bq/L
2022/11/9,Flatfish (muscle),H-3:TFWT,0.11,,Bq/kg-fresh
2022/11/9,Flatfish (muscle),H-3:OBT,,0.29,Bq/L
2022/11/9,Flatfish (muscle),H-3:OBT,,0.043,Bq/kg-fresh
2022/10/13,Japanese angel shark  (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/10/13,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/10/13,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2022/10/13,Flatfish (muscle),Cs-134,,6.5,Bq/kg-fresh
2022/10/13,Red sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2022/10/13,Japanese angel shark  (muscle),Cs-137,,4.1,Bq/kg-fresh
2022/10/13,Common skete (muscle),Cs-137,,3.8,Bq/kg-fresh
2022/10/13,Flatfish (muscle),Cs-137,,4.5,Bq/kg-fresh
2022/10/13,Flatfish (muscle),Cs-137,,5.5,Bq/kg-fresh
2022/10/13,Red sea bream (muscle),Cs-137,,3.9,Bq/kg-fresh
2022/10/13,Flatfish (muscle),H-3:TFWT,,0.075,Bq/L
2022/10/13,Flatfish (muscle),H-3:TFWT,,0.058,Bq/kg-fresh
2022/10/13,Flatfish (muscle),H-3:OBT,,0.29,Bq/L
2022/10/13,Flatfish (muscle),H-3:OBT,,0.040,Bq/kg-fresh
2022/9/15,Japanese angel shark  (muscle),Cs-134,,2.9,Bq/kg-fresh
2022/9/15,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2022/9/15,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2022/9/15,Flatfish (muscle),Cs-134,,5.3,Bq/kg-fresh
2022/9/15,Searobin (muscle),Cs-134,,3.0,Bq/kg-fresh
2022/9/15,Red sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/9/15,Japanese angel shark  (muscle),Cs-137,,4.6,Bq/kg-fresh
2022/9/15,Common skete (muscle),Cs-137,,3.0,Bq/kg-fresh
2022/9/15,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2022/9/15,Flatfish (muscle),Cs-137,,5.6,Bq/kg-fresh
2022/9/15,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2022/9/15,Red sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2022/9/15,Flatfish (muscle),H-3:TFWT,,0.075,Bq/L
2022/9/15,Flatfish (muscle),H-3:TFWT,,0.058,Bq/kg-fresh
2022/9/15,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2022/9/15,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2022/8/30,Japanese angel shark  (muscle),Cs-134,,3.0,Bq/kg-fresh
2022/8/30,Common skete (muscle),Cs-134,,4.1,Bq/kg-fresh
2022/8/30,Flatfish (muscle),Cs-134,,5.6,Bq/kg-fresh
2022/8/30,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2022/8/30,Japanese angel shark  (muscle),Cs-137,,4.0,Bq/kg-fresh
2022/8/30,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2022/8/30,Flatfish (muscle),Cs-137,,5.4,Bq/kg-fresh
2022/8/30,Flatfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2022/8/30,Flatfish (muscle),H-3:TFWT,0.10,,Bq/L
2022/8/30,Flatfish (muscle),H-3:TFWT,0.078,,Bq/kg-fresh
2022/8/30,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2022/8/30,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2022/7/21,Japanese angel shark  (muscle),Cs-134,,3.8,Bq/kg-fresh
2022/7/21,Common skete (muscle),Cs-134,,4.2,Bq/kg-fresh
2022/7/21,Flatfish (muscle),Cs-134,,5.1,Bq/kg-fresh
2022/7/21,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2022/7/21,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/7/21,Japanese angel shark  (muscle),Cs-137,,3.9,Bq/kg-fresh
2022/7/21,Common skete (muscle),Cs-137,,3.8,Bq/kg-fresh
2022/7/21,Flatfish (muscle),Cs-137,,5.0,Bq/kg-fresh
2022/7/21,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2022/7/21,Searobin (muscle),Cs-137,,3.0,Bq/kg-fresh
2022/7/21,Flatfish (muscle),H-3:TFWT,,0.082,Bq/L
