File Creation Date,2025-12-05
Sampling Location,Around 15km offshore of Odakaku (T-B1) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/5/28,Marbled sole (muscle),Cs-134,,2.8,Bq/kg-fresh
2024/5/28,Roundnose flounder (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/5/28,Red sea bream (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/5/28,John dory (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/5/28,Tiger puffer (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/5/28,Lepidotrigla microptena (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/5/28,Yellow goosefish (whole),Cs-137,,3.9,Bq/kg-fresh
2024/5/28,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/5/28,Sea bass (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/5/28,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/5/28,Marbled sole (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/5/28,Roundnose flounder (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/5/28,Red sea bream (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/5/28,John dory (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/5/28,Tiger puffer (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/5/28,Flatfish (muscle),H-3:TFWT,,0.069,Bq/L
2024/5/28,Flatfish (muscle),H-3:TFWT,,0.052,Bq/kg-fresh
2024/5/28,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2024/5/28,Flatfish (muscle),H-3:OBT,,0.041,Bq/kg-fresh
2024/4/9,Lepidotrigla microptena (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/4/9,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/4/9,Sea bass (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/4/9,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/4/9,Flatfish (muscle),Cs-134,,2.7,Bq/kg-fresh
2024/4/9,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/4/9,Roundnose flounder (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/4/9,Red sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/4/9,Greenling (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/4/9,Pointhead flounder (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/4/9,Lepidotrigla microptena (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/4/9,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/4/9,Sea bass (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/4/9,Flatfish (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/4/9,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/4/9,Searobin (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/4/9,Roundnose flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/4/9,Red sea bream (muscle),Cs-137,,2.6,Bq/kg-fresh
2024/4/9,Greenling (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/4/9,Pointhead flounder (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/4/9,Flatfish (muscle),H-3:TFWT,,0.075,Bq/L
2024/4/9,Flatfish (muscle),H-3:TFWT,,0.058,Bq/kg-fresh
2024/4/9,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2024/4/9,Flatfish (muscle),H-3:OBT,,0.033,Bq/kg-fresh
2024/3/15,Lepidotrigla microptena (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/3/15,Black rockfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/3/15,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
