File Creation Date,2025-04-02
Sampling Location,Around 3km offshore of Odaka Ward (T-S2) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/12/21,Yellow goosefish (whole),Cs-137,,3.7,Bq/kg-fresh
2023/12/21,Microstomus achne (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/11/10,Flatfish (muscle),Cs-134,,5.4,Bq/kg-fresh
2023/11/10,Flatfish (muscle),Cs-137,,5.6,Bq/kg-fresh
2023/11/10,Flatfish (muscle),H-3:TFWT,0.092,,Bq/L
2023/11/10,Flatfish (muscle),H-3:TFWT,0.071,,Bq/kg-fresh
2023/11/10,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/11/10,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2023/11/9,White croaker (muscle),Cs-134,,4.4,Bq/kg-fresh
2023/11/9,White croaker (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-134,,5.6,Bq/kg-fresh
2023/10/18,Searobin (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/10/18,Blue crab (whole),Cs-134,,3.3,Bq/kg-fresh
2023/10/18,Flatfish (muscle),Cs-137,,5.2,Bq/kg-fresh
2023/10/18,Searobin (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/18,Blue crab (whole),Cs-137,,3.4,Bq/kg-fresh
2023/10/18,Flatfish (muscle),H-3:TFWT,0.18,,Bq/L
2023/10/18,Flatfish (muscle),H-3:TFWT,0.14,,Bq/kg-fresh
2023/10/18,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/10/18,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2023/9/6,Stone flounder (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/9/6,Flatfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/9/6,Flatfish (muscle),Cs-134,,5.3,Bq/kg-fresh
2023/9/6,Common skete (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/9/6,Blue crab (whole),Cs-134,,3.7,Bq/kg-fresh
2023/9/6,White croaker (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/9/6,Drumfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/9/6,Stone flounder (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/9/6,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/9/6,Flatfish (muscle),Cs-137,,5.4,Bq/kg-fresh
2023/9/6,Common skete (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/9/6,Blue crab (whole),Cs-137,,3.2,Bq/kg-fresh
2023/9/6,White croaker (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/9/6,Drumfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/9/6,Flatfish (muscle),H-3:TFWT,,0.071,Bq/L
2023/9/6,Flatfish (muscle),H-3:TFWT,,0.055,Bq/kg-fresh
2023/9/6,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/9/6,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2023/8/3,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/8/3,Flathead (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/8/3,Flatfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/8/3,Flathead (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/7/20,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/7/20,Searobin (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/7/20,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/7/20,Searobin (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/6/22,Flatfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/6/22,Flatfish (muscle),Cs-134,,5.9,Bq/kg-fresh
2023/6/22,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/6/22,John dory (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/6/22,White croaker (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/6/22,Japanese amberjack (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/6/22,Smooth dogfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/6/22,Flatfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/6/22,Flatfish (muscle),Cs-137,,5.2,Bq/kg-fresh
2023/6/22,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/6/22,John dory (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/6/22,White croaker (muscle),Cs-137,,3.0,Bq/kg-fresh
2023/6/22,Japanese amberjack (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/6/22,Smooth dogfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/6/22,Flatfish (muscle),H-3:TFWT,,0.074,Bq/L
2023/6/22,Flatfish (muscle),H-3:TFWT,,0.058,Bq/kg-fresh
2023/6/22,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/6/22,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2023/5/27,Flatfish (muscle),Cs-134,,4.3,Bq/kg-fresh
2023/5/27,Japanese angel shark  (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/5/27,Blue crab (whole),Cs-134,,4.2,Bq/kg-fresh
2023/5/27,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/5/27,Japanese angel shark  (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/5/27,Blue crab (whole),Cs-137,,3.5,Bq/kg-fresh
2023/5/13,Stone flounder (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/5/13,Flatfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/5/13,Flatfish (muscle),Cs-134,,6.7,Bq/kg-fresh
2023/5/13,Marbled sole (muscle),Cs-134,,2.9,Bq/kg-fresh
2023/5/13,Japanese angel shark  (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/5/13,Stone flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/5/13,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/5/13,Flatfish (muscle),Cs-137,,5.6,Bq/kg-fresh
2023/5/13,Marbled sole (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/5/13,Japanese angel shark  (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/5/13,Flatfish (muscle),H-3:TFWT,,0.077,Bq/L
2023/5/13,Flatfish (muscle),H-3:TFWT,,0.059,Bq/kg-fresh
2023/5/13,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/5/13,Flatfish (muscle),H-3:OBT,,0.039,Bq/kg-fresh
2023/3/24,Marbled sole (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/3/24,Roundnose flounder (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/3/24,Marbled sole (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/3/24,Roundnose flounder (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/2/9,Marbled sole (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/2/9,Roundnose flounder (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/2/9,Marbled sole (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/2/9,Roundnose flounder (muscle),Cs-137,,3.0,Bq/kg-fresh
2023/1/19,Flatfish (muscle),Cs-134,,5.0,Bq/kg-fresh
2023/1/19,Roundnose flounder (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/1/19,Flatfish (muscle),Cs-137,,4.9,Bq/kg-fresh
2023/1/19,Roundnose flounder (muscle),Cs-137,,3.6,Bq/kg-fresh
2022/12/8,Lepidotrigla microptena (muscle),Cs-134,,4.5,Bq/kg-fresh
2022/12/8,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2022/12/8,Flatfish (muscle),Cs-134,,5.1,Bq/kg-fresh
2022/12/8,Lepidotrigla microptena (muscle),Cs-137,,3.9,Bq/kg-fresh
2022/12/8,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2022/12/8,Flatfish (muscle),Cs-137,,4.8,Bq/kg-fresh
2022/12/8,Flatfish (muscle),H-3:TFWT,,0.080,Bq/L
2022/12/8,Flatfish (muscle),H-3:TFWT,,0.063,Bq/kg-fresh
2022/12/8,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2022/12/8,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2022/11/9,Lepidotrigla microptena (muscle),Cs-134,,4.2,Bq/kg-fresh
2022/11/9,Flatfish (muscle),Cs-134,,6.1,Bq/kg-fresh
2022/11/9,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/11/9,Searobin (muscle),Cs-134,,3.4,Bq/kg-fresh
2022/11/9,Blue crab (whole),Cs-134,,3.5,Bq/kg-fresh
2022/11/9,Lepidotrigla microptena (muscle),Cs-137,,3.6,Bq/kg-fresh
2022/11/9,Flatfish (muscle),Cs-137,,5.2,Bq/kg-fresh
2022/11/9,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2022/11/9,Searobin (muscle),Cs-137,,4.2,Bq/kg-fresh
2022/11/9,Blue crab (whole),Cs-137,,4.4,Bq/kg-fresh
2022/11/9,Flatfish (muscle),H-3:TFWT,0.16,,Bq/L
2022/11/9,Flatfish (muscle),H-3:TFWT,0.12,,Bq/kg-fresh
2022/11/9,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2022/11/9,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2022/10/7,Stingray (muscle),Cs-134,,3.5,Bq/kg-fresh
2022/10/7,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2022/10/7,Flatfish (muscle),Cs-134,,5.8,Bq/kg-fresh
2022/10/7,John dory (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/10/7,Stingray (muscle),Cs-137,,3.3,Bq/kg-fresh
2022/10/7,Flatfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2022/10/7,Flatfish (muscle),Cs-137,,5.5,Bq/kg-fresh
2022/10/7,John dory (muscle),Cs-137,,3.8,Bq/kg-fresh
2022/10/7,Flatfish (muscle),H-3:TFWT,,0.074,Bq/L
2022/10/7,Flatfish (muscle),H-3:TFWT,,0.058,Bq/kg-fresh
2022/10/7,Flatfish (muscle),H-3:OBT,,0.29,Bq/L
2022/10/7,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2022/9/30,Flatfish (muscle),Cs-134,,6.7,Bq/kg-fresh
2022/9/30,Japanese angel shark  (muscle),Cs-134,,3.8,Bq/kg-fresh
2022/9/30,Blue crab (whole),Cs-134,,3.5,Bq/kg-fresh
2022/9/30,Flatfish (muscle),Cs-137,,4.9,Bq/kg-fresh
2022/9/30,Japanese angel shark  (muscle),Cs-137,,3.2,Bq/kg-fresh
2022/9/30,Blue crab (whole),Cs-137,,3.5,Bq/kg-fresh
2022/8/4,Lepidotrigla microptena (muscle),Cs-134,,2.8,Bq/kg-fresh
2022/8/4,Flatfish (muscle),Cs-134,,6.0,Bq/kg-fresh
2022/8/4,Searobin (muscle),Cs-134,,3.5,Bq/kg-fresh
2022/8/4,Blue crab (whole),Cs-134,,5.1,Bq/kg-fresh
2022/8/4,Lepidotrigla microptena (muscle),Cs-137,,3.5,Bq/kg-fresh
2022/8/4,Flatfish (muscle),Cs-137,,6.0,Bq/kg-fresh
2022/8/4,Searobin (muscle),Cs-137,,3.5,Bq/kg-fresh
2022/8/4,Blue crab (whole),Cs-137,,3.9,Bq/kg-fresh
2022/8/4,Flatfish (muscle),H-3:TFWT,0.15,,Bq/L
2022/8/4,Flatfish (muscle),H-3:TFWT,0.11,,Bq/kg-fresh
2022/8/4,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2022/8/4,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2022/7/22,Lepidotrigla microptena (muscle),Cs-134,,3.5,Bq/kg-fresh
2022/7/22,Flatfish (muscle),Cs-134,,7.0,Bq/kg-fresh
2022/7/22,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2022/7/22,Chub mackerel (muscle),Cs-134,,3.1,Bq/kg-fresh
2022/7/22,Lepidotrigla microptena (muscle),Cs-137,,3.3,Bq/kg-fresh
2022/7/22,Flatfish (muscle),Cs-137,,5.8,Bq/kg-fresh
2022/7/22,Searobin (muscle),Cs-137,,3.6,Bq/kg-fresh
2022/7/22,Chub mackerel (muscle),Cs-137,,3.4,Bq/kg-fresh
2022/7/22,Flatfish (muscle),H-3:TFWT,,0.076,Bq/L
2022/7/22,Flatfish (muscle),H-3:TFWT,,0.060,Bq/kg-fresh
2022/7/22,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2022/7/22,Flatfish (muscle),H-3:OBT,,0.035,Bq/kg-fresh
2022/6/3,Stone flounder (muscle),Cs-134,,4.4,Bq/kg-fresh
2022/6/3,Lepidotrigla microptena (muscle),Cs-134,,3.5,Bq/kg-fresh
