File Creation Date,2025-02-27
Sampling Location,Around 1km offshore of Ota River (T-S1) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/8/3,Black rockfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/8/3,Flatfish (muscle),Cs-134,,4.9,Bq/kg-fresh
2023/8/3,Japanese angel shark  (muscle),Cs-134,,4.4,Bq/kg-fresh
2023/8/3,Red sea bream (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/8/3,Black sea bream (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/8/3,Blue crab (whole),Cs-137,,3.9,Bq/kg-fresh
2023/8/3,Black rockfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/8/3,Flatfish (muscle),Cs-137,,6.1,Bq/kg-fresh
2023/8/3,Japanese angel shark  (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/8/3,Red sea bream (muscle),Cs-137,,4.2,Bq/kg-fresh
2023/8/3,Black sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/8/3,Flatfish (muscle),H-3:TFWT,,0.073,Bq/L
2023/8/3,Flatfish (muscle),H-3:TFWT,,0.057,Bq/kg-fresh
2023/8/3,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/8/3,Flatfish (muscle),H-3:OBT,,0.036,Bq/kg-fresh
2023/7/20,Blue crab (whole),Cs-134,,3.6,Bq/kg-fresh
2023/7/20,Flatfish (muscle),Cs-134,,5.0,Bq/kg-fresh
2023/7/20,Japanese angel shark  (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/7/20,Blue crab (whole),Cs-137,,3.9,Bq/kg-fresh
2023/7/20,Flatfish (muscle),Cs-137,,5.7,Bq/kg-fresh
2023/7/20,Japanese angel shark  (muscle),Cs-137,6.2,,Bq/kg-fresh
2023/7/20,Flatfish (muscle),H-3:TFWT,,0.072,Bq/L
2023/7/20,Flatfish (muscle),H-3:TFWT,,0.056,Bq/kg-fresh
2023/7/20,Flatfish (muscle),H-3:OBT,,0.24,Bq/L
2023/7/20,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2023/6/22,Common skete (muscle),Cs-134,,4.3,Bq/kg-fresh
2023/6/22,Marbled sole (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/6/22,Blue crab (whole),Cs-134,,4.1,Bq/kg-fresh
2023/6/22,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/6/22,Flatfish (muscle),Cs-134,,5.7,Bq/kg-fresh
2023/6/22,Stingray (muscle),Cs-134,,4.3,Bq/kg-fresh
2023/6/22,Smooth dogfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/6/22,Drumfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/6/22,Red sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/6/22,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/6/22,Marbled sole (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/6/22,Blue crab (whole),Cs-137,,4.0,Bq/kg-fresh
2023/6/22,Flatfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/6/22,Flatfish (muscle),Cs-137,,4.3,Bq/kg-fresh
2023/6/22,Stingray (muscle),Cs-137,,3.0,Bq/kg-fresh
2023/6/22,Smooth dogfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/6/22,Drumfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/6/22,Red sea bream (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/6/22,Flatfish (muscle),H-3:TFWT,0.090,,Bq/L
2023/6/22,Flatfish (muscle),H-3:TFWT,0.067,,Bq/kg-fresh
2023/6/22,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/6/22,Flatfish (muscle),H-3:OBT,,0.040,Bq/kg-fresh
2023/5/27,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/5/27,Blue crab (whole),Cs-134,,3.5,Bq/kg-fresh
2023/5/27,Stingray (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/5/27,Japanese angel shark  (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/5/27,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/5/27,Blue crab (whole),Cs-137,,3.6,Bq/kg-fresh
2023/5/27,Stingray (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/5/27,Japanese angel shark  (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/5/13,Marbled sole (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/5/13,Blue crab (whole),Cs-134,,3.4,Bq/kg-fresh
2023/5/13,Pitted stingray (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/5/13,Smooth dogfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/5/13,Stone flounder (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/5/13,Yellow goosefish (whole),Cs-134,,3.8,Bq/kg-fresh
2023/5/13,Sea bass (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/5/13,Chub mackerel (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/5/13,Marbled sole (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/5/13,Blue crab (whole),Cs-137,,3.9,Bq/kg-fresh
2023/5/13,Pitted stingray (muscle),Cs-137,,4.3,Bq/kg-fresh
2023/5/13,Smooth dogfish (muscle),Cs-137,3.4,,Bq/kg-fresh
2023/5/13,Stone flounder (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/5/13,Yellow goosefish (whole),Cs-137,,3.4,Bq/kg-fresh
2023/5/13,Sea bass (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/5/13,Chub mackerel (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/3/24,Flatfish (muscle),Cs-134,,4.5,Bq/kg-fresh
2023/3/24,Lepidotrigla microptena (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/3/24,Smooth dogfish (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/3/24,Black sea bream (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/3/24,Flatfish (muscle),Cs-137,,4.9,Bq/kg-fresh
2023/3/24,Lepidotrigla microptena (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/3/24,Smooth dogfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/3/24,Black sea bream (muscle),Cs-137,,4.0,Bq/kg-fresh
2023/3/24,Flatfish (muscle),H-3:TFWT,,0.073,Bq/L
2023/3/24,Flatfish (muscle),H-3:TFWT,,0.057,Bq/kg-fresh
2023/3/24,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/3/24,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2023/2/9,Marbled sole (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/2/9,Black rockfish (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/2/9,Roundnose flounder (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/2/9,Stingray (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/2/9,Ridged-eye flounder (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/2/9,Marbled sole (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/2/9,Black rockfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/2/9,Roundnose flounder (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/2/9,Stingray (muscle),Cs-137,,3.9,Bq/kg-fresh
