File Creation Date,2026-01-27
Sampling Location,Around 2km offshore of 2F site (T-S7) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/9/15,Flatfish (muscle),H-3:TFWT,,0.051,Bq/kg-fresh
2023/9/15,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/9/15,Flatfish (muscle),H-3:OBT,,0.033,Bq/kg-fresh
2023/8/24,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/8/24,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/8/24,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/8/24,Red sea bream (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/8/24,Common skete (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/8/24,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/8/24,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/8/24,Red sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/8/24,Flatfish (muscle),H-3:TFWT,0.10,,Bq/L
2023/8/24,Flatfish (muscle),H-3:TFWT,0.075,,Bq/kg-fresh
2023/8/24,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2023/8/24,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2023/7/19,Flatfish (muscle),Cs-134,,4.5,Bq/kg-fresh
2023/7/19,Flatfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/7/19,Searobin (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/7/19,Japanese amberjack (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/7/19,Pitted stingray (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/7/19,Flatfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/7/19,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/7/19,Searobin (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/7/19,Japanese amberjack (muscle),Cs-137,,3.2,Bq/kg-fresh
