File Creation Date,2025-01-27
Sampling Location,Around 18km offshore of Ukedo River (T-B2) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/1/30,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/1/30,Common Japanese conger (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/1/30,Flatfish (muscle),H-3:TFWT,0.081,,Bq/L
2024/1/30,Flatfish (muscle),H-3:TFWT,0.063,,Bq/kg-fresh
2024/1/30,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/1/30,Flatfish (muscle),H-3:OBT,,0.030,Bq/kg-fresh
2023/12/19,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/12/19,Littlemouth flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/12/19,Marbled sole (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/12/19,Roundnose flounder (muscle),Cs-134,,2.9,Bq/kg-fresh
2023/12/19,Ridged-eye flounder (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/12/19,Lepidotrigla microptena (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/12/19,White croaker (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/12/19,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/12/19,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/12/19,Crimson sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/12/19,Jack mackerel (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/12/19,Hairtail (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/12/19,Common Japanese conger (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/12/19,Red sea bream (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/12/19,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/12/19,Littlemouth flounder (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/12/19,Marbled sole (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/12/19,Roundnose flounder (muscle),Cs-137,,4.2,Bq/kg-fresh
2023/12/19,Ridged-eye flounder (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/12/19,Lepidotrigla microptena (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/12/19,White croaker (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/12/19,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/12/19,Flatfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/12/19,Crimson sea bream (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/12/19,Jack mackerel (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/12/19,Hairtail (muscle),Cs-137,,3.0,Bq/kg-fresh
2023/12/19,Common Japanese conger (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/12/19,Red sea bream (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/12/19,Flatfish (muscle),H-3:TFWT,0.083,,Bq/L
2023/12/19,Flatfish (muscle),H-3:TFWT,0.065,,Bq/kg-fresh
2023/12/19,Flatfish (muscle),H-3:OBT,,0.29,Bq/L
2023/12/19,Flatfish (muscle),H-3:OBT,,0.033,Bq/kg-fresh
2023/11/14,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/11/14,Marbled sole (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/11/14,Ridged-eye flounder (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/11/14,Lepidotrigla microptena (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/11/14,White croaker (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/11/14,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/11/14,Crimson sea bream (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/11/14,Takifugu snyderi (muscle),Cs-134,,4.4,Bq/kg-fresh
2023/11/14,Common skete (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/11/14,Marbled sole (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/11/14,Ridged-eye flounder (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/11/14,Lepidotrigla microptena (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/11/14,White croaker (muscle),Cs-137,,3.8,Bq/kg-fresh
2023/11/14,Flatfish (muscle),Cs-137,,4.2,Bq/kg-fresh
2023/11/14,Crimson sea bream (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/11/14,Takifugu snyderi (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/11/14,Flatfish (muscle),H-3:TFWT,0.092,,Bq/L
2023/11/14,Flatfish (muscle),H-3:TFWT,0.073,,Bq/kg-fresh
2023/11/14,Flatfish (muscle),H-3:OBT,,0.32,Bq/L
2023/11/14,Flatfish (muscle),H-3:OBT,,0.039,Bq/kg-fresh
2023/10/3,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/10/3,Ridged-eye flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/10/3,Crimson sea bream (muscle),Cs-134,,3.7,Bq/kg-fresh
2023/10/3,Jack mackerel (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/10/3,John dory (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/10/3,Smooth dogfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/10/3,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/10/3,Ridged-eye flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/10/3,Crimson sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/10/3,Jack mackerel (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/3,John dory (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/10/3,Smooth dogfish (muscle),Cs-137,,3.0,Bq/kg-fresh
2023/9/12,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/9/12,Roundnose flounder (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/9/12,Ridged-eye flounder (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/9/12,Lepidotrigla microptena (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/9/12,Crimson sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/9/12,John dory (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/9/12,Takifugu snyderi (muscle),Cs-134,,4.3,Bq/kg-fresh
2023/9/12,Red sea bream (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/9/12,Common skete (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/9/12,Roundnose flounder (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/9/12,Ridged-eye flounder (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/9/12,Lepidotrigla microptena (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/9/12,Crimson sea bream (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/9/12,John dory (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/9/12,Takifugu snyderi (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/9/12,Red sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/8/22,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/8/22,Roundnose flounder (muscle),Cs-134,,3.9,Bq/kg-fresh
2023/8/22,Lepidotrigla microptena (muscle),Cs-134,,4.5,Bq/kg-fresh
2023/8/22,Crimson sea bream (muscle),Cs-134,,4.4,Bq/kg-fresh
2023/8/22,John dory (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/8/22,Hairtail (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/8/22,Red sea bream (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/8/22,Mirror dory (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/8/22,Common skete (muscle),Cs-137,,2.6,Bq/kg-fresh
2023/8/22,Roundnose flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/8/22,Lepidotrigla microptena (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/8/22,Crimson sea bream (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/8/22,John dory (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/8/22,Hairtail (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/8/22,Red sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/8/22,Mirror dory (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/8/1,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
