File Creation Date,2025-04-17
Sampling Location,Around 4km offshore of Kumagawa (T-S8) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2023/12/8,Flatfish (muscle),H-3:OBT,,0.034,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/11/9,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/11/9,Searobin (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/11/9,Japanese angel shark  (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/11/9,Flathead (muscle),Cs-134,,3.2,Bq/kg-fresh
2023/11/9,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/11/9,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/11/9,Searobin (muscle),Cs-137,,4.3,Bq/kg-fresh
2023/11/9,Japanese angel shark  (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/11/9,Flathead (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/11/9,Flatfish (muscle),H-3:TFWT,0.16,,Bq/L
2023/11/9,Flatfish (muscle),H-3:TFWT,0.13,,Bq/kg-fresh
2023/11/9,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/11/9,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-134,,3.0,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/10/13,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/10/13,Searobin (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/10/13,Japanese angel shark  (muscle),Cs-134,,3.1,Bq/kg-fresh
2023/10/13,Blue crab (whole),Cs-134,,3.3,Bq/kg-fresh
2023/10/13,White croaker (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/10/13,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2023/10/13,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/10/13,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/10/13,Japanese angel shark  (muscle),Cs-137,,3.6,Bq/kg-fresh
2023/10/13,Blue crab (whole),Cs-137,,4.6,Bq/kg-fresh
2023/10/13,White croaker (muscle),Cs-137,,3.5,Bq/kg-fresh
2023/10/13,Flatfish (muscle),H-3:TFWT,0.084,,Bq/L
2023/10/13,Flatfish (muscle),H-3:TFWT,0.065,,Bq/kg-fresh
2023/10/13,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2023/10/13,Flatfish (muscle),H-3:OBT,,0.041,Bq/kg-fresh
2023/9/12,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/9/12,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/9/12,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/9/12,Searobin (muscle),Cs-134,,4.1,Bq/kg-fresh
2023/9/12,Black rockfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2023/9/12,Japanese angel shark  (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/9/12,Red sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/9/12,Stingray (muscle),Cs-134,,4.0,Bq/kg-fresh
2023/9/12,Japanese eagle ray (muscle),Cs-134,,3.6,Bq/kg-fresh
2023/9/12,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2023/9/12,Flatfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/9/12,Common skete (muscle),Cs-137,3.9,,Bq/kg-fresh
2023/9/12,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/9/12,Black rockfish (muscle),Cs-137,,2.8,Bq/kg-fresh
2023/9/12,Japanese angel shark  (muscle),Cs-137,,3.9,Bq/kg-fresh
2023/9/12,Red sea bream (muscle),Cs-137,,4.4,Bq/kg-fresh
2023/9/12,Stingray (muscle),Cs-137,,4.6,Bq/kg-fresh
2023/9/12,Japanese eagle ray (muscle),Cs-137,,3.4,Bq/kg-fresh
2023/9/12,Flatfish (muscle),H-3:TFWT,0.071,,Bq/L
2023/9/12,Flatfish (muscle),H-3:TFWT,0.055,,Bq/kg-fresh
2023/9/12,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2023/9/12,Flatfish (muscle),H-3:OBT,,0.041,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/8/31,Common skete (muscle),Cs-134,,4.4,Bq/kg-fresh
2023/8/31,Blue crab (whole),Cs-134,,4.0,Bq/kg-fresh
2023/8/31,Red sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/8/31,Flatfish (muscle),Cs-137,,3.2,Bq/kg-fresh
2023/8/31,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2023/8/31,Blue crab (whole),Cs-137,,3.9,Bq/kg-fresh
2023/8/31,Red sea bream (muscle),Cs-137,,3.1,Bq/kg-fresh
2023/8/31,Flatfish (muscle),H-3:TFWT,0.054,,Bq/L
2023/8/31,Flatfish (muscle),H-3:TFWT,0.042,,Bq/kg-fresh
2023/8/31,Flatfish (muscle),H-3:OBT,,0.26,Bq/L
2023/8/31,Flatfish (muscle),H-3:OBT,,0.039,Bq/kg-fresh
2023/7/21,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2023/7/21,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2023/7/21,Common skete (muscle),Cs-134,,4.2,Bq/kg-fresh
2023/7/21,Searobin (muscle),Cs-134,,3.9,Bq/kg-fresh
